date,open,high,low,close,adj_close,volume
"Jan 01, 2021","3,270.00","3,363.89","3,086.00","3,206.20","3,206.20","3,206.20"
"Dec 01, 2020","3,188.50","3,350.65","3,072.82","3,256.93","3,256.93","3,256.93"
"Nov 01, 2020","3,061.74","3,366.80","2,950.12","3,168.04","3,168.04","3,168.04"
"Oct 01, 2020","3,208.00","3,496.24","3,019.00","3,036.15","3,036.15","3,036.15"
"Sep 01, 2020","3,489.58","3,552.25","2,871.00","3,148.73","3,148.73","3,148.73"
"Aug 01, 2020","3,180.51","3,495.00","3,073.00","3,450.96","3,450.96","3,450.96"
"Jul 01, 2020","2,757.99","3,344.29","2,754.00","3,164.68","3,164.68","3,164.68"
"Jun 01, 2020","2,448.00","2,796.00","2,437.13","2,758.82","2,758.82","2,758.82"
"May 01, 2020","2,336.80","2,525.45","2,256.38","2,442.37","2,442.37","2,442.37"
"Apr 01, 2020","1,932.97","2,475.00","1,889.15","2,474.00","2,474.00","2,474.00"
"Mar 01, 2020","1,906.49","1,996.33","1,626.03","1,949.72","1,949.72","1,949.72"
"Feb 01, 2020","2,010.60","2,185.95","1,811.13","1,883.75","1,883.75","1,883.75"
"Jan 01, 2020","1,875.00","2,055.72","1,815.34","2,008.72","2,008.72","2,008.72"
"Dec 01, 2019","1,804.40","1,901.40","1,735.00","1,847.84","1,847.84","1,847.84"
"Nov 01, 2019","1,788.01","1,824.69","1,722.71","1,800.80","1,800.80","1,800.80"
"Oct 01, 2019","1,746.00","1,798.85","1,685.06","1,776.66","1,776.66","1,776.66"
"Sep 01, 2019","1,770.00","1,853.66","1,709.22","1,735.91","1,735.91","1,735.91"
"Aug 01, 2019","1,871.72","1,897.92","1,743.51","1,776.29","1,776.29","1,776.29"
"Jul 01, 2019","1,922.98","2,035.80","1,849.44","1,866.78","1,866.78","1,866.78"
"Jun 01, 2019","1,760.01","1,935.20","1,672.00","1,893.63","1,893.63","1,893.63"
"May 01, 2019","1,933.09","1,964.40","1,772.70","1,775.07","1,775.07","1,775.07"
"Apr 01, 2019","1,800.11","1,956.34","1,798.73","1,926.52","1,926.52","1,926.52"
"Mar 01, 2019","1,655.13","1,823.75","1,586.57","1,780.75","1,780.75","1,780.75"
"Feb 01, 2019","1,638.88","1,673.06","1,566.76","1,639.83","1,639.83","1,639.83"
"Jan 01, 2019","1,465.20","1,736.41","1,460.93","1,718.73","1,718.73","1,718.73"
"Dec 01, 2018","1,769.46","1,778.34","1,307.00","1,501.97","1,501.97","1,501.97"
"Nov 01, 2018","1,623.53","1,784.00","1,420.00","1,690.17","1,690.17","1,690.17"
"Oct 01, 2018","2,021.99","2,033.19","1,476.36","1,598.01","1,598.01","1,598.01"
"Sep 01, 2018","2,026.50","2,050.50","1,865.00","2,003.00","2,003.00","2,003.00"
"Aug 01, 2018","1,784.00","2,025.57","1,776.02","2,012.71","2,012.71","2,012.71"
"Jul 01, 2018","1,682.70","1,880.05","1,678.06","1,777.44","1,777.44","1,777.44"
"Jun 01, 2018","1,637.03","1,763.10","1,635.09","1,699.80","1,699.80","1,699.80"
"May 01, 2018","1,563.22","1,635.00","1,546.02","1,629.62","1,629.62","1,629.62"
"Apr 01, 2018","1,417.62","1,638.10","1,352.88","1,566.13","1,566.13","1,566.13"
"Mar 01, 2018","1,513.60","1,617.54","1,365.20","1,447.34","1,447.34","1,447.34"
"Feb 01, 2018","1,445.00","1,528.70","1,265.93","1,512.45","1,512.45","1,512.45"
"Jan 01, 2018","1,172.00","1,472.58","1,170.51","1,450.89","1,450.89","1,450.89"
"Dec 01, 2017","1,172.05","1,194.78","1,124.74","1,169.47","1,169.47","1,169.47"
"Nov 01, 2017","1,105.40","1,213.41","1,086.87","1,176.75","1,176.75","1,176.75"
"Oct 01, 2017",964.00,"1,122.79",950.37,"1,105.28","1,105.28","1,105.28"
"Sep 01, 2017",984.20,"1,000.00",931.75,961.35,961.35,961.35
"Aug 01, 2017",996.11,"1,006.40",936.33,980.60,980.60,980.60
"Jul 01, 2017",972.79,"1,083.31",951.00,987.78,987.78,987.78
"Jun 01, 2017",998.59,"1,017.00",927.00,968.00,968.00,968.00
"May 01, 2017",927.80,"1,001.20",927.80,994.62,994.62,994.62
"Apr 01, 2017",888.00,949.59,884.49,924.99,924.99,924.99
"Mar 01, 2017",853.05,890.35,833.50,886.54,886.54,886.54
"Feb 01, 2017",829.21,860.86,803.00,845.04,845.04,845.04
"Jan 01, 2017",757.92,843.84,747.70,823.48,823.48,823.48
"Dec 01, 2016",752.41,782.46,736.70,749.87,749.87,749.87
"Nov 01, 2016",799.00,800.84,710.10,750.57,750.57,750.57
"Oct 01, 2016",836.00,847.21,774.61,789.82,789.82,789.82
"Sep 01, 2016",770.90,839.95,756.00,837.31,837.31,837.31
"Aug 01, 2016",759.87,774.98,750.35,769.16,769.16,769.16
"Jul 01, 2016",717.32,766.00,716.54,758.81,758.81,758.81
"Jun 01, 2016",720.90,731.50,682.12,715.62,715.62,715.62
"May 01, 2016",663.92,724.23,656.00,722.79,722.79,722.79
"Apr 01, 2016",590.49,669.98,585.25,659.59,659.59,659.59
"Mar 01, 2016",556.29,603.24,538.58,593.64,593.64,593.64
"Feb 01, 2016",578.15,581.80,474.00,552.52,552.52,552.52
"Jan 01, 2016",656.29,657.72,547.18,587.00,587.00,587.00
